Date,Price
2017-03-13,815.18
2017-03-09,815
2017-03-07,815
2017-03-06,815
2017-03-01,820
2017-02-22,815
2017-02-21,815
2017-02-20,815
2017-02-15,815.01
2017-02-14,815
2017-02-10,815
2017-02-09,815
2017-02-08,815.01
2017-02-07,815.01
2017-02-03,815.02
2017-02-01,815
2017-01-31,830
2017-01-27,815
2017-01-26,815
2017-01-19,815
2017-01-11,830
2017-01-10,815
2017-01-05,817.86
2017-01-02,815
2016-12-28,814.48
2016-12-22,780
2016-12-09,800
2016-11-28,811.06
2016-11-25,809
2016-11-24,810.3
2016-11-23,810.38
2016-11-22,806.85
2016-11-21,809.63
2016-11-18,808.5
2016-11-17,806.67
2016-11-16,809.94
2016-11-15,809.13
2016-11-14,808.34
2016-11-10,800.03
2016-11-09,800.88
2016-11-07,805.9
2016-11-04,803.5
2016-11-03,803
2016-11-02,800.72
2016-10-31,801.68
2016-10-28,806.01
2016-10-27,800.66
2016-10-21,804.99
2016-10-20,803.32
2016-10-19,800.93
2016-10-18,801.46
2016-10-13,802.54
2016-10-11,800.32
2016-10-10,800.4
2016-10-07,800.26
2016-10-05,801.2
2016-10-04,800
2016-10-03,798.63
2016-09-30,800
2016-09-29,800.25
2016-09-28,800
2016-09-27,796.09
2016-09-26,800
2016-09-23,799.99
2016-09-22,799.8
2016-09-21,799.73
2016-09-20,796.93
2016-09-19,780
2016-09-16,791.56
2016-09-15,778.05
2016-09-14,779.72
2016-09-13,780
2016-09-12,771.77
2016-09-09,784.01
2016-09-08,784.07
2016-09-07,783.04
2016-09-06,784.39
2016-09-05,783.01
2016-09-01,790.39
2016-08-31,794
2016-08-30,794.32
2016-08-29,795
2016-08-26,794.14
2016-08-25,790.02
2016-08-24,789.27
2016-08-23,789.32
2016-08-22,789.97
2016-08-19,788.83
2016-08-18,788.8
2016-08-17,789
2016-08-16,788.99
2016-08-12,786.06
2016-08-11,783.93
2016-08-10,785.4
2016-08-09,781.32
2016-08-08,784.21
2016-08-04,785.89
2016-08-03,787.41
2016-08-02,790.05
2016-08-01,790.01
2016-07-29,795.31
2016-07-28,793.33
2016-07-27,786.61
2016-07-26,751.56
2016-07-25,720.98
2016-07-22,723.03
2016-07-21,730.12
2016-07-20,740.15
2016-07-19,756.15
2016-07-18,754.07
2016-07-15,753.86
2016-07-14,753.2
2016-07-13,763.91
2016-07-12,770.06
2016-07-11,774.43
2016-07-08,766.76
2016-07-07,764.42
2016-07-06,750.9
2016-07-05,725.29
2016-07-04,564.91
2016-07-01,570
2016-06-30,570.01
2016-06-29,575
2016-06-28,570.07
2016-06-27,570
2016-06-24,562.16
2016-06-23,570.41
2016-06-16,580
2016-06-15,582.05
2016-06-14,585
2016-06-13,570.01
2016-06-10,577.86
2016-06-09,579.31
2016-06-08,553.09
2016-06-07,553.97
2016-06-06,560.96
2016-06-03,570.01
2016-06-02,574.94
2016-06-01,559.99
2016-05-31,550.12
2016-05-30,554.38
2016-05-27,556.63
2016-05-25,569.99
2016-05-19,571.01
2016-05-18,583.21
2016-05-17,571.16
2016-05-16,551.22
2016-05-13,561.02
2016-05-12,560.01
2016-05-11,562.76
2016-05-09,563.08
2016-05-06,572.28
2016-05-05,591.02
2016-05-04,601.26
2016-05-03,620.19
2016-05-02,580.59
2016-04-29,544.97
2016-04-27,535.6
2016-04-26,533.54
2016-04-25,537.6
2016-04-22,537.13
2016-04-20,538.96
2016-04-19,538.89
2016-04-18,515
2016-04-15,514.22
2016-04-14,524.88
2016-04-11,521.62
