,Cestovni,Željeznički,Riječni,Pomorski,Zračni,UKUPNO
2022-03-29,34516,30,0,4,1588,36138
2022-03-30,36276,42,0,36,1700,38054
2022-03-31,38165,23,0,0,1937,40125
2022-04-01,41118,52,0,2,2349,43521
2022-04-02,45790,39,0,1,1959,47789
2022-04-03,39187,68,0,58,2182,41495
2022-04-04,39592,25,0,3,2030,41650
2022-04-05,34315,32,0,35,1604,35986
2022-04-06,37609,27,0,43,1509,39188
2022-04-07,40272,35,0,12,1820,42139
2022-04-08,44945,24,0,3,1875,46847
2022-04-09,54841,39,1,0,1935,56816
2022-04-10,44847,37,0,37,1863,46784
2022-04-11,44187,30,0,6,1847,46070
2022-04-12,43706,21,0,3,1894,45624
2022-04-13,48844,49,1,62,2381,51337
2022-04-14,64971,75,0,32,3602,68680
2022-04-15,64398,47,0,5,3878,68328
2022-04-16,55802,12,1,28,2587,58430
2022-04-17,40436,101,0,81,2192,42810
2022-04-18,86747,119,0,135,3746,90747
2022-04-19,58894,91,1,28,3653,62667
2022-04-20,53280,38,1,80,3379,56778
2022-04-21,50770,80,0,12,3639,54501
2022-04-22,55772,52,0,2,2959,58785
2022-04-23,59187,32,1,5,2552,61777
2022-04-24,53783,12,0,45,3305,57145
2022-04-25,48793,61,0,1,3051,51906
2022-04-26,43491,18,0,32,2656,46197
2022-04-27,40550,51,0,65,2157,42823
2022-04-28,45550,20,0,7,2478,48055
2022-04-29,53329,49,0,12,2538,55928
2022-04-30,61173,47,0,65,2242,63527
2022-05-01,49100,63,0,85,2434,51682
2022-05-02,49762,39,0,13,2440,52254
2022-05-03,43287,39,0,36,2164,45526
2022-05-04,41714,45,0,63,1951,43773
2022-05-05,46095,56,1,5,2507,48664
2022-05-06,55037,28,0,2,2444,57511
2022-05-07,57224,40,0,20,2223,59507
2022-05-08,52501,26,0,45,2724,55296
2022-05-09,45251,36,0,8,2895,48190
2022-05-10,44235,11,0,5,2568,46819
2022-05-11,45086,38,0,60,2195,47379
2022-05-12,47002,82,0,18,2427,49529
2022-05-13,50982,79,0,14,2563,53638
2022-05-14,61027,97,1,35,2271,63431
2022-05-15,58396,78,0,70,2700,61244
2022-05-16,48315,52,0,20,2690,51077
2022-05-17,43091,61,0,112,2391,45655
2022-05-18,43753,58,0,6,2077,45894
2022-05-19,45931,54,0,183,2388,48556
2022-05-20,52956,118,0,64,2490,55628
2022-05-21,59122,123,0,86,2131,61462
2022-05-22,58303,70,0,53,2511,60937
2022-05-23,48509,63,0,15,2586,51173
2022-05-24,44289,40,0,36,1955,46320
2022-05-25,46057,56,0,147,2081,48341
2022-05-26,58090,26,0,74,2727,60917
2022-05-27,58372,36,1,33,3449,61891
2022-05-28,59957,35,0,31,2393,62416
2022-05-29,61019,62,0,68,2174,63323
2022-05-30,59567,37,9,100,2275,61988
2022-05-31,41769,50,0,89,2536,44444
2022-06-01,45050,40,0,13,2404,47507
2022-06-02,46988,12,0,57,2353,49410
2022-06-03,52049,25,0,12,2362,54448
2022-06-04,60222,42,0,35,1885,62184
2022-06-05,63764,56,1,73,2152,66046
2022-06-06,69599,50,0,36,2707,72392
2022-06-07,54544,11,0,50,2586,57191
2022-06-08,44877,57,0,32,2215,47181
2022-06-09,50278,35,0,31,2280,52624
2022-06-10,55203,33,0,21,2773,58030
2022-06-11,61727,17,1,47,2083,63875
2022-06-12,60847,71,0,72,2572,63562
2022-06-13,55862,46,1,50,2748,58707
2022-06-14,45766,87,0,96,2568,48517
2022-06-15,55945,38,0,31,3102,59116
2022-06-16,77085,53,0,151,3842,81131
2022-06-17,63008,15,1,41,2728,65793
2022-06-18,61593,23,0,47,2330,63993
2022-06-19,73785,16,0,91,2735,76627
2022-06-20,51363,49,0,54,2790,54256
2022-06-21,52361,35,0,219,2476,55091
2022-06-22,64575,57,1,48,3495,68176
